SQLDATE,EventCode,AvgTone,GoldsteinScale,NumMentions,NumSources,NumArticles,SOURCEURL
20171117,042,-3.46820809248555,1.9,4,1,4,http://nasional.kompas.com/read/2017/11/17/10365561/jokowi-saya-minta-pak-setya-novanto-mengikuti-proses-hukum
20171117,043,-1.96078431372549,2.8,10,1,10,https://www.antaranews.com/berita/665378/presiden-jokowi-minta-setnov-ikuti-proses-hukum
20171117,051,-0.68027210884354,3.4,4,1,4,http://news.metrotvnews.com/peristiwa/zNA7Ll2k-oso-singgung-pembangunan-gedung-dpd-di-depan-jokowi
20171117,040,3.17460317460318,1.0,2,1,2,http://en.metrotvnews.com/national-en/lKYX6Zxk-jokowi-to-attend-kahmi-national-congress-in-medan
20171117,042,3.17460317460318,1.9,2,1,2,http://en.metrotvnews.com/national-en/lKYX6Zxk-jokowi-to-attend-kahmi-national-congress-in-medan
20171117,036,-1.35746606334842,4.0,10,1,10,http://www.tribunnews.com/nasional/2017/11/17/presiden-jokowi-akan-temui-pm-malaysia-ini-yang-akan-dibahas
20171117,182,-4.18118466898954,-9.5,2,1,2,http://www.thejakartapost.com/news/2017/11/17/jokowi-orders-setya-to-obey-law.html
20171117,182,-4.18118466898954,-9.5,2,1,2,http://www.thejakartapost.com/news/2017/11/17/jokowi-orders-setya-to-obey-law.html
20171117,040,-4.18118466898954,1.0,4,1,4,http://www.thejakartapost.com/news/2017/11/17/jokowi-orders-setya-to-obey-law.html
20170918,020,2.38095238095238,3.0,4,1,4,http://nasional.kompas.com/read/2017/09/18/16025041/ruhut-prabowo-kebelet-mau-nyapres-jadi-asal-komentar
20170918,111,1.45348837209303,-2.0,6,1,6,http://www.tribunnews.com/nasional/2017/09/18/ruhut-prabowo-kebelet-mau-nyapres-jadi-asal-saja-komentar-ngawur
20170918,111,1.45348837209303,-2.0,2,1,2,http://www.tribunnews.com/nasional/2017/09/18/ruhut-prabowo-kebelet-mau-nyapres-jadi-asal-saja-komentar-ngawur
20170918,111,0.0,-2.0,10,1,10,http://jabar.tribunnews.com/2017/09/18/ruhut-sitompul-prabowo-jangan-omdo
20170918,010,0.79787234042553,0.0,10,1,10,http://news.liputan6.com/read/3098939/prabowo-bukan-tak-solider-ke-rohingya-rakyat-kita-masih-susah
20170918,040,3.01075268817204,1.0,4,1,4,http://wartakota.tribunnews.com/2017/09/18/jokowi-tunjuk-gibran-jadi-jubir-keluarga-dalam-konpres-rencana-pernikahan-kahiyang
20170918,012,2.07100591715976,-0.4,4,1,4,http://nasional.kompas.com/read/2017/09/18/12191461/golkar-anggap-prabowo-sengaja-manfaatkan-isu-rohingya
20170918,023,2.73972602739726,3.4,4,1,4,http://www.tribunnews.com/nasional/2017/09/18/wasekjen-ppp-justru-pernyataan-prabowo-yang-pencitraan
20170918,111,1.45348837209303,-2.0,2,1,2,http://www.tribunnews.com/nasional/2017/09/18/ruhut-prabowo-kebelet-mau-nyapres-jadi-asal-saja-komentar-ngawur
20170918,014,-1.50602409638554,0.0,2,1,2,http://www.tribunnews.com/nasional/2017/09/18/wasekjen-hanura-nyong-jadi-bingung-kok-prabowo-dan-amien-malah-nyerang-jokowi
20170918,090,2.31884057971015,-2.0,10,1,10,http://www.beritasatu.com/nasional/453173-prabowo-diminta-tak-jadikan-isu-rohingya-untuk-tekan-pemerintah.html
20170918,010,-2.24719101123596,0.0,4,1,4,http://news.liputan6.com/read/3099709/respons-jokowi-terkait-penyerangan-kantor-ylbhi
20170918,111,3.41614906832298,-2.0,2,1,2,http://lampung.tribunnews.com/2017/09/18/prabowo-soroti-bantuan-untuk-rohingya-ruhut-jangan-omdo
20170918,043,0.27624309392265,2.8,3,1,3,http://news.liputan6.com/read/3098646/jokowi-akan-buka-perkemahan-maarif-nu-dan-tutup-festival-keraton
20170918,043,0.27624309392265,2.8,3,1,3,http://news.liputan6.com/read/3098646/jokowi-akan-buka-perkemahan-maarif-nu-dan-tutup-festival-keraton
20170918,043,-12.4378109452737,2.8,2,1,2,http://www.tribunnews.com/nasional/2017/09/18/di-hadapan-pramuka-jokowi-singgung-ujaran-kebencian-dan-fitnah-di-medsos
20170918,042,-4.91803278688525,1.9,10,1,10,http://regional.kompas.com/read/2017/09/18/16124421/3-tantangan-yang-diingatkan-jokowi-kepada-anak-anak-muda
20170918,020,2.16216216216216,3.0,4,1,4,http://kabar24.bisnis.com/read/20170918/15/691004/presiden-jokowi-usul-film-g30s-diperbarui-ini-tujuannya
20170918,020,-0.97402597402598,3.0,4,1,4,http://en.republika.co.id/berita/en/national-politics/17/09/18/owhi5k414-jokowi-proposes-update-of-communist-party-insurgence-film
20170918,061,0.72992700729927,6.4,10,1,10,http://otomotif.liputan6.com/read/3099299/jokowi-beri-lampu-hijau-untuk-mobil-pedesaan
20170918,050,3.2520325203252,3.5,2,1,2,http://www.en.netralnews.com/news/business/read/11466/jokowi.appreciates.soes....efforts.to.develop.economy.around.borobudur
20170918,051,3.2520325203252,3.4,2,1,2,http://www.en.netralnews.com/news/business/read/11466/jokowi.appreciates.soes....efforts.to.develop.economy.around.borobudur
