nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2006;November;121513;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2006;Desember;46379;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2006;Desember;302819;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2006;Desember;74157;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2006;Desember;118286;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Januari;36923;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Januari;251459;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Januari;33536;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Januari;131674;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Februari;30123;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Februari;202386;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Februari;27109;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Februari;120774;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Maret;34944;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Maret;256929;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Maret;31642;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Maret;136433;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;April;35251;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;April;266956;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;April;29009;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;April;135710;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Mei;34686;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Mei;275556;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Mei;29959;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Mei;146565;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Juni;42823;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Juni;299240;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Juni;36899;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Juni;158250;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Juli;38481;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Juli;304040;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Juli;34937;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Juli;180830;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Agustus;40117;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Agustus;309905;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Agustus;41491;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Agustus;171967;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;September;30862;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;September;271150;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;September;28267;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;September;163067;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Oktober;40665;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Oktober;288938;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Oktober;38342;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Oktober;163987;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;November;40399;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;November;299326;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;November;58353;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;November;153804;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Desember;46175;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Desember;349118;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Desember;74066;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2007;Desember;140517;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Januari;44898;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Januari;256378;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Januari;36783;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Januari;162363;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Februari;34815;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Februari;257478;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Februari;30831;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Februari;163701;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Maret;37576;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Maret;286383;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Maret;36016;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Maret;163421;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;April;36158;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;April;291244;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;April;33293;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;April;155440;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Mei;34805;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Mei;287303;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Mei;34617;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Mei;172534;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Juni;43559;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Juni;320480;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Juni;41212;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Juni;175631;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Juli;40416;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Juli;327801;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2008;Juli;40251;Juanda
