nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2009;Tahun;16454212;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2010;Tahun;356089;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2010;Tahun;51775656;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2010;Tahun;72719097;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2010;Tahun;59435878;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2010;Tahun;749203;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2010;Tahun;25319476;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2010;Tahun;11591519;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2011;Tahun;409073;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2011;Tahun;60197306;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2011;Tahun;68578455;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2011;Tahun;58455009;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2011;Tahun;483736;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2011;Tahun;15243235;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2011;Tahun;5243193;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2012;Tahun;555748;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2012;Tahun;71421464;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2012;Tahun;85702251;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2012;Tahun;69235834;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2012;Tahun;571668;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2012;Tahun;36846691;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2012;Tahun;11832444;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2013;Tahun;458301;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2013;Tahun;75770222;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2013;Tahun;74819814;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2013;Tahun;62096407;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2013;Tahun;539257;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2013;Tahun;8094224;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2013;Tahun;5542218;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2014;Tahun;524978;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2014;Tahun;76498400;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2014;Tahun;81876188;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2014;Tahun;67404828;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2014;Tahun;584571;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2014;Tahun;8922878;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2014;Tahun;6040023;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2015;Tahun;500324;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2015;Tahun;76628867;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2015;Tahun;82740875;"Km-Tempat Duduk Tersedia (000)"
