nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;September;143650;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;September;124353;Hasanudin
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Oktober;141810;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Oktober;828707;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Oktober;255118;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Oktober;130328;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Oktober;107728;Hasanudin
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;November;173411;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;November;977587;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;November;284825;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;November;144359;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;November;133415;Hasanudin
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Desember;158444;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Desember;1034103;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Desember;312713;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Desember;154584;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2006;Desember;123649;Hasanudin
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2007;Januari;178255;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2007;Januari;866735;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Domestik";2007;Januari;301274;Juanda
